fund_name,date,nav
HDFC Top 100 Fund - Direct Plan - Growth,15-06-2018,142.78320
HDFC Top 100 Fund - Direct Plan - Growth,14-06-2018,142.68740
HDFC Top 100 Fund - Direct Plan - Growth,13-06-2018,142.59070
HDFC Top 100 Fund - Direct Plan - Growth,12-06-2018,142.48370
HDFC Top 100 Fund - Direct Plan - Growth,11-06-2018,142.45510
HDFC Top 100 Fund - Direct Plan - Growth,08-06-2018,142.40350
HDFC Top 100 Fund - Direct Plan - Growth,07-06-2018,142.28120
HDFC Top 100 Fund - Direct Plan - Growth,06-06-2018,142.39720
HDFC Top 100 Fund - Direct Plan - Growth,05-06-2018,142.46650
HDFC Top 100 Fund - Direct Plan - Growth,04-06-2018,142.39980
HDFC Top 100 Fund - Direct Plan - Growth,01-06-2018,142.36740
HDFC Top 100 Fund - Direct Plan - Growth,31-05-2018,142.42000
HDFC Top 100 Fund - Direct Plan - Growth,30-05-2018,142.52960
HDFC Top 100 Fund - Direct Plan - Growth,29-05-2018,142.47260
HDFC Top 100 Fund - Direct Plan - Growth,28-05-2018,142.42240
HDFC Top 100 Fund - Direct Plan - Growth,25-05-2018,142.24870
HDFC Top 100 Fund - Direct Plan - Growth,24-05-2018,142.11650
HDFC Top 100 Fund - Direct Plan - Growth,23-05-2018,142.13570
HDFC Top 100 Fund - Direct Plan - Growth,22-05-2018,142.14720
HDFC Top 100 Fund - Direct Plan - Growth,21-05-2018,142.11740
HDFC Top 100 Fund - Direct Plan - Growth,18-05-2018,142.08570
HDFC Top 100 Fund - Direct Plan - Growth,17-05-2018,141.90050
HDFC Top 100 Fund - Direct Plan - Growth,16-05-2018,141.95750
HDFC Top 100 Fund - Direct Plan - Growth,15-05-2018,142.09140
HDFC Top 100 Fund - Direct Plan - Growth,14-05-2018,142.23980
HDFC Top 100 Fund - Direct Plan - Growth,11-05-2018,142.28570
HDFC Top 100 Fund - Direct Plan - Growth,10-05-2018,142.30770
HDFC Top 100 Fund - Direct Plan - Growth,09-05-2018,142.35630
HDFC Top 100 Fund - Direct Plan - Growth,08-05-2018,142.51870
HDFC Top 100 Fund - Direct Plan - Growth,07-05-2018,142.48080
HDFC Top 100 Fund - Direct Plan - Growth,04-05-2018,142.31650
HDFC Top 100 Fund - Direct Plan - Growth,03-05-2018,142.31790
HDFC Top 100 Fund - Direct Plan - Growth,02-05-2018,142.30150
HDFC Top 100 Fund - Direct Plan - Growth,27-04-2018,142.07840
HDFC Top 100 Fund - Direct Plan - Growth,26-04-2018,142.11090
HDFC Top 100 Fund - Direct Plan - Growth,25-04-2018,142.21850
HDFC Top 100 Fund - Direct Plan - Growth,24-04-2018,142.35690
HDFC Top 100 Fund - Direct Plan - Growth,23-04-2018,142.37970
HDFC Top 100 Fund - Direct Plan - Growth,20-04-2018,142.38180
HDFC Top 100 Fund - Direct Plan - Growth,19-04-2018,142.58170
HDFC Top 100 Fund - Direct Plan - Growth,18-04-2018,142.80350
HDFC Top 100 Fund - Direct Plan - Growth,17-04-2018,142.90280
HDFC Top 100 Fund - Direct Plan - Growth,16-04-2018,142.90830
HDFC Top 100 Fund - Direct Plan - Growth,13-04-2018,142.85960
HDFC Top 100 Fund - Direct Plan - Growth,12-04-2018,142.81230
HDFC Top 100 Fund - Direct Plan - Growth,11-04-2018,142.78920
HDFC Top 100 Fund - Direct Plan - Growth,10-04-2018,142.98380
HDFC Top 100 Fund - Direct Plan - Growth,09-04-2018,143.18510
HDFC Top 100 Fund - Direct Plan - Growth,06-04-2018,143.15330
HDFC Top 100 Fund - Direct Plan - Growth,05-04-2018,143.12750
HDFC Top 100 Fund - Direct Plan - Growth,04-04-2018,142.73820
HDFC Top 100 Fund - Direct Plan - Growth,03-04-2018,142.74280
HDFC Top 100 Fund - Direct Plan - Growth,28-03-2018,142.43920
HDFC Top 100 Fund - Direct Plan - Growth,27-03-2018,142.35560
HDFC Top 100 Fund - Direct Plan - Growth,26-03-2018,141.85800
HDFC Top 100 Fund - Direct Plan - Growth,23-03-2018,141.82720
HDFC Top 100 Fund - Direct Plan - Growth,22-03-2018,141.78480
HDFC Top 100 Fund - Direct Plan - Growth,21-03-2018,141.73910
HDFC Top 100 Fund - Direct Plan - Growth,20-03-2018,141.72690
HDFC Top 100 Fund - Direct Plan - Growth,19-03-2018,141.71480
HDFC Top 100 Fund - Direct Plan - Growth,16-03-2018,141.69120
HDFC Top 100 Fund - Direct Plan - Growth,15-03-2018,141.48730
